city,comparison_type,rep_a,rep_b,level,char_similarity
brighton,full_b1,3,1,section:operational,0.1172
brighton,full_b1,3,1,section:reach,0.1227
brighton,full_b1,3,1,section:digital,1.0
brighton,full_b1,3,1,section:notable,0.1823
brighton,full_b1,3,2,whole_report,0.3407
brighton,full_b1,3,2,section:geographic,0.2989
brighton,full_b1,3,2,section:types,0.2483
brighton,full_b1,3,2,section:operational,0.1602
brighton,full_b1,3,2,section:reach,0.1227
brighton,full_b1,3,2,section:digital,1.0
brighton,full_b1,3,2,section:notable,0.1823
brighton,full_b1,3,3,whole_report,0.3407
brighton,full_b1,3,3,section:geographic,0.2989
brighton,full_b1,3,3,section:types,0.2483
brighton,full_b1,3,3,section:operational,0.1602
brighton,full_b1,3,3,section:reach,0.1227
brighton,full_b1,3,3,section:digital,1.0
brighton,full_b1,3,3,section:notable,0.1823
dublin,full_full,1,2,whole_report,0.5875
dublin,full_full,1,2,section:geographic,0.2827
dublin,full_full,1,2,section:types,0.1188
dublin,full_full,1,2,section:operational,0.1629
dublin,full_full,1,2,section:reach,1.0
dublin,full_full,1,2,section:digital,1.0
dublin,full_full,1,2,section:notable,1.0
dublin,full_full,1,3,whole_report,0.5875
dublin,full_full,1,3,section:geographic,0.2827
dublin,full_full,1,3,section:types,0.1188
dublin,full_full,1,3,section:operational,0.1629
dublin,full_full,1,3,section:reach,1.0
dublin,full_full,1,3,section:digital,1.0
dublin,full_full,1,3,section:notable,1.0
dublin,full_full,2,3,whole_report,1.0
dublin,full_full,2,3,section:geographic,1.0
dublin,full_full,2,3,section:types,1.0
dublin,full_full,2,3,section:operational,1.0
dublin,full_full,2,3,section:reach,1.0
dublin,full_full,2,3,section:digital,1.0
dublin,full_full,2,3,section:notable,1.0
dublin,b1_b1,1,2,whole_report,0.3044
dublin,b1_b1,1,2,section:geographic,0.3108
dublin,b1_b1,1,2,section:types,0.2435
dublin,b1_b1,1,2,section:operational,0.1583
dublin,b1_b1,1,2,section:reach,1.0
dublin,b1_b1,1,2,section:digital,1.0
dublin,b1_b1,1,2,section:notable,1.0
dublin,b1_b1,1,3,whole_report,0.3044
dublin,b1_b1,1,3,section:geographic,0.3108
dublin,b1_b1,1,3,section:types,0.2435
dublin,b1_b1,1,3,section:operational,0.1583
dublin,b1_b1,1,3,section:reach,1.0
dublin,b1_b1,1,3,section:digital,1.0
dublin,b1_b1,1,3,section:notable,1.0
dublin,b1_b1,2,3,whole_report,1.0
dublin,b1_b1,2,3,section:geographic,1.0
dublin,b1_b1,2,3,section:types,1.0
dublin,b1_b1,2,3,section:operational,1.0
dublin,b1_b1,2,3,section:reach,1.0
dublin,b1_b1,2,3,section:digital,1.0
dublin,b1_b1,2,3,section:notable,1.0
dublin,full_b1,1,1,whole_report,0.3077
dublin,full_b1,1,1,section:geographic,0.2178
dublin,full_b1,1,1,section:types,0.098
dublin,full_b1,1,1,section:operational,0.2456
dublin,full_b1,1,1,section:reach,0.2473
dublin,full_b1,1,1,section:digital,1.0
dublin,full_b1,1,1,section:notable,0.1044
dublin,full_b1,1,2,whole_report,0.3395
dublin,full_b1,1,2,section:geographic,0.3138
dublin,full_b1,1,2,section:types,0.2091
dublin,full_b1,1,2,section:operational,0.2074
dublin,full_b1,1,2,section:reach,0.2473
dublin,full_b1,1,2,section:digital,1.0
dublin,full_b1,1,2,section:notable,0.1044
dublin,full_b1,1,3,whole_report,0.3395
dublin,full_b1,1,3,section:geographic,0.3138
dublin,full_b1,1,3,section:types,0.2091
dublin,full_b1,1,3,section:operational,0.2074
dublin,full_b1,1,3,section:reach,0.2473
dublin,full_b1,1,3,section:digital,1.0
dublin,full_b1,1,3,section:notable,0.1044
dublin,full_b1,2,1,whole_report,0.3446
dublin,full_b1,2,1,section:geographic,0.3379
dublin,full_b1,2,1,section:types,0.2607
dublin,full_b1,2,1,section:operational,0.1753
dublin,full_b1,2,1,section:reach,0.2473
dublin,full_b1,2,1,section:digital,1.0
dublin,full_b1,2,1,section:notable,0.1044
dublin,full_b1,2,2,whole_report,0.14
dublin,full_b1,2,2,section:geographic,0.2193
dublin,full_b1,2,2,section:types,0.3217
dublin,full_b1,2,2,section:operational,0.1643
dublin,full_b1,2,2,section:reach,0.2473
dublin,full_b1,2,2,section:digital,1.0
dublin,full_b1,2,2,section:notable,0.1044
dublin,full_b1,2,3,whole_report,0.14
dublin,full_b1,2,3,section:geographic,0.2193
dublin,full_b1,2,3,section:types,0.3217
dublin,full_b1,2,3,section:operational,0.1643
dublin,full_b1,2,3,section:reach,0.2473
dublin,full_b1,2,3,section:digital,1.0
dublin,full_b1,2,3,section:notable,0.1044
dublin,full_b1,3,1,whole_report,0.3446
dublin,full_b1,3,1,section:geographic,0.3379
dublin,full_b1,3,1,section:types,0.2607
dublin,full_b1,3,1,section:operational,0.1753
dublin,full_b1,3,1,section:reach,0.2473
dublin,full_b1,3,1,section:digital,1.0
dublin,full_b1,3,1,section:notable,0.1044
dublin,full_b1,3,2,whole_report,0.14
dublin,full_b1,3,2,section:geographic,0.2193
dublin,full_b1,3,2,section:types,0.3217
dublin,full_b1,3,2,section:operational,0.1643
dublin,full_b1,3,2,section:reach,0.2473
dublin,full_b1,3,2,section:digital,1.0
dublin,full_b1,3,2,section:notable,0.1044
dublin,full_b1,3,3,whole_report,0.14
dublin,full_b1,3,3,section:geographic,0.2193
dublin,full_b1,3,3,section:types,0.3217
dublin,full_b1,3,3,section:operational,0.1643
dublin,full_b1,3,3,section:reach,0.2473
dublin,full_b1,3,3,section:digital,1.0
dublin,full_b1,3,3,section:notable,0.1044
london,full_full,1,2,whole_report,0.5862
london,full_full,1,2,section:geographic,0.1853
london,full_full,1,2,section:types,0.1083
london,full_full,1,2,section:operational,0.1444
london,full_full,1,2,section:reach,1.0
london,full_full,1,2,section:digital,1.0
london,full_full,1,2,section:notable,1.0
london,full_full,1,3,whole_report,0.5862
london,full_full,1,3,section:geographic,0.1853
london,full_full,1,3,section:types,0.1083
london,full_full,1,3,section:operational,0.1444
london,full_full,1,3,section:reach,1.0
london,full_full,1,3,section:digital,1.0
london,full_full,1,3,section:notable,1.0
london,full_full,2,3,whole_report,1.0
london,full_full,2,3,section:geographic,1.0
london,full_full,2,3,section:types,1.0
london,full_full,2,3,section:operational,1.0
london,full_full,2,3,section:reach,1.0
london,full_full,2,3,section:digital,1.0
london,full_full,2,3,section:notable,1.0
london,b1_b1,1,2,whole_report,0.5892
london,b1_b1,1,2,section:geographic,0.2579
london,b1_b1,1,2,section:types,0.0924
london,b1_b1,1,2,section:operational,0.1566
london,b1_b1,1,2,section:reach,1.0
london,b1_b1,1,2,section:digital,1.0
london,b1_b1,1,2,section:notable,1.0
london,b1_b1,1,3,whole_report,0.5892
london,b1_b1,1,3,section:geographic,0.2579
london,b1_b1,1,3,section:types,0.0924
london,b1_b1,1,3,section:operational,0.1566
london,b1_b1,1,3,section:reach,1.0
london,b1_b1,1,3,section:digital,1.0
london,b1_b1,1,3,section:notable,1.0
london,b1_b1,2,3,whole_report,1.0
london,b1_b1,2,3,section:geographic,1.0
london,b1_b1,2,3,section:types,1.0
london,b1_b1,2,3,section:operational,1.0
london,b1_b1,2,3,section:reach,1.0
london,b1_b1,2,3,section:digital,1.0
london,b1_b1,2,3,section:notable,1.0
london,full_b1,1,1,whole_report,0.324
london,full_b1,1,1,section:geographic,0.1536
london,full_b1,1,1,section:types,0.0833
london,full_b1,1,1,section:operational,0.1937
london,full_b1,1,1,section:reach,0.1578
london,full_b1,1,1,section:digital,1.0
london,full_b1,1,1,section:notable,0.2333
london,full_b1,1,2,whole_report,0.322
london,full_b1,1,2,section:geographic,0.1981
london,full_b1,1,2,section:types,0.0687
london,full_b1,1,2,section:operational,0.1277
london,full_b1,1,2,section:reach,0.1578
london,full_b1,1,2,section:digital,1.0
london,full_b1,1,2,section:notable,0.2333
london,full_b1,1,3,whole_report,0.322
london,full_b1,1,3,section:geographic,0.1981
london,full_b1,1,3,section:types,0.0687
london,full_b1,1,3,section:operational,0.1277
london,full_b1,1,3,section:reach,0.1578
london,full_b1,1,3,section:digital,1.0
london,full_b1,1,3,section:notable,0.2333
london,full_b1,2,1,whole_report,0.046
london,full_b1,2,1,section:geographic,0.1722
london,full_b1,2,1,section:types,0.0853
london,full_b1,2,1,section:operational,0.1596
london,full_b1,2,1,section:reach,0.1578
london,full_b1,2,1,section:digital,1.0
london,full_b1,2,1,section:notable,0.2333
london,full_b1,2,2,whole_report,0.3369
london,full_b1,2,2,section:geographic,0.2225
london,full_b1,2,2,section:types,0.0968
london,full_b1,2,2,section:operational,0.2019
london,full_b1,2,2,section:reach,0.1578
london,full_b1,2,2,section:digital,1.0
london,full_b1,2,2,section:notable,0.2333
london,full_b1,2,3,whole_report,0.3369
london,full_b1,2,3,section:geographic,0.2225
london,full_b1,2,3,section:types,0.0968
london,full_b1,2,3,section:operational,0.2019
london,full_b1,2,3,section:reach,0.1578
london,full_b1,2,3,section:digital,1.0
london,full_b1,2,3,section:notable,0.2333
london,full_b1,3,1,whole_report,0.046
london,full_b1,3,1,section:geographic,0.1722
london,full_b1,3,1,section:types,0.0853
london,full_b1,3,1,section:operational,0.1596
london,full_b1,3,1,section:reach,0.1578
london,full_b1,3,1,section:digital,1.0
london,full_b1,3,1,section:notable,0.2333
london,full_b1,3,2,whole_report,0.3369
london,full_b1,3,2,section:geographic,0.2225
london,full_b1,3,2,section:types,0.0968
london,full_b1,3,2,section:operational,0.2019
london,full_b1,3,2,section:reach,0.1578
london,full_b1,3,2,section:digital,1.0
london,full_b1,3,2,section:notable,0.2333
london,full_b1,3,3,whole_report,0.3369
london,full_b1,3,3,section:geographic,0.2225
london,full_b1,3,3,section:types,0.0968
london,full_b1,3,3,section:operational,0.2019
london,full_b1,3,3,section:reach,0.1578
london,full_b1,3,3,section:digital,1.0
london,full_b1,3,3,section:notable,0.2333
milan,full_full,1,2,whole_report,0.6432
milan,full_full,1,2,section:geographic,0.227
milan,full_full,1,2,section:types,0.391
milan,full_full,1,2,section:operational,0.2347
milan,full_full,1,2,section:reach,1.0
milan,full_full,1,2,section:digital,1.0
milan,full_full,1,2,section:notable,1.0
milan,full_full,1,3,whole_report,0.6432
milan,full_full,1,3,section:geographic,0.227
milan,full_full,1,3,section:types,0.391
